from;to;value
34031;34003;409
34032;34003;296
34101;34003;244
34150;34003;404
34207;34003;140
34301;34003;175
34332;34003;333
34145;34022;152
34172;34022;451
34024;34023;120
34108;34023;216
34301;34023;241
34108;34024;138
34213;34024;111
34301;34024;123
34119;34028;111
34312;34028;145
34001;34032;171
34003;34032;476
34025;34032;340
34031;34032;178
34037;34032;633
34052;34032;270
34069;34032;624
34073;34032;335
34074;34032;220
34081;34032;437
34084;34032;325
34089;34032;101
34094;34032;190
34101;34032;115
34130;34032;136
34135;34032;395
34139;34032;225
34140;34032;534
34147;34032;375
34148;34032;670
34150;34032;106
34155;34032;370
34161;34032;604
34166;34032;217
34172;34032;466
34178;34032;453
34183;34032;413
34199;34032;205
34209;34032;305
34223;34032;215
34224;34032;170
34225;34032;333
34226;34032;111
34258;34032;207
34289;34032;121
34298;34032;662
34299;34032;666
34300;34032;559
34301;34032;182
34310;34032;488
34324;34032;267
34325;34032;113
34329;34032;284
34332;34032;149
34336;34032;654
34032;34037;354
34022;34057;110
34058;34057;110
34090;34057;330
34116;34057;115
34120;34057;189
34129;34057;182
34145;34057;132
34154;34057;186
34172;34057;2109
34217;34057;110
34309;34057;105
34327;34057;129
34172;34058;202
34172;34077;308
34051;34079;204
34076;34079;106
34142;34079;121
34172;34079;122
34180;34079;106
34194;34079;127
34197;34079;111
34210;34079;120
34239;34079;235
34032;34081;192
34161;34081;106
34057;34090;139
34172;34090;424
34172;34095;157
34172;34101;417
34023;34108;205
34113;34108;120
34157;34108;161
34159;34108;107
34172;34108;236
34213;34108;132
34301;34108;617
34067;34111;151
34128;34111;168
34174;34111;119
34108;34113;106
34172;34114;113
34239;34114;115
34172;34116;390
34172;34120;322
34172;34123;379
34028;34126;133
34119;34126;125
34211;34126;135
34057;34129;159
34108;34129;152
34145;34129;139
34154;34129;283
34172;34129;1876
34192;34129;105
34198;34129;335
34337;34129;200
34172;34134;152
34036;34142;102
34304;34142;133
34157;34143;110
34146;34145;121
34151;34145;298
34172;34145;404
34272;34145;260
34340;34145;152
34145;34146;122
34003;34150;138
34145;34151;131
34022;34154;110
34050;34154;140
34057;34154;175
34127;34154;155
34129;34154;245
34145;34154;191
34172;34154;1199
34176;34154;128
34192;34154;116
34198;34154;185
34240;34154;114
34327;34154;127
34337;34154;101
34143;34157;125
34341;34157;134
34172;34169;306
34003;34172;330
34010;34172;371
34012;34172;217
34014;34172;271
34022;34172;1040
34023;34172;250
34024;34172;140
34027;34172;200
34032;34172;576
34033;34172;155
34035;34172;199
34041;34172;101
34050;34172;199
34051;34172;324
34057;34172;3732
34058;34172;741
34076;34172;106
34077;34172;1090
34078;34172;222
34079;34172;356
34082;34172;295
34087;34172;542
34088;34172;896
34090;34172;1590
34095;34172;1179
34101;34172;111
34108;34172;1313
34111;34172;142
34113;34172;750
34114;34172;760
34116;34172;1975
34120;34172;1527
34123;34172;2199
34127;34172;376
34129;34172;2723
34134;34172;581
34142;34172;196
34145;34172;1374
34146;34172;369
34151;34172;373
34152;34172;110
34153;34172;410
34154;34172;2360
34157;34172;439
34159;34172;398
34163;34172;677
34164;34172;159
34165;34172;327
34169;34172;746
34173;34172;131
34176;34172;420
34179;34172;368
34192;34172;626
34194;34172;151
34198;34172;1136
34202;34172;1303
34210;34172;180
34213;34172;410
34215;34172;126
34217;34172;1078
34227;34172;262
34239;34172;665
34240;34172;473
34243;34172;178
34244;34172;344
34246;34172;205
34247;34172;819
34248;34172;160
34249;34172;295
34255;34172;2115
34256;34172;183
34259;34172;1060
34266;34172;115
34267;34172;112
34270;34172;1629
34272;34172;245
34274;34172;370
34276;34172;675
34281;34172;118
34282;34172;235
34288;34172;116
34290;34172;149
34295;34172;281
34301;34172;1326
34307;34172;339
34309;34172;745
34320;34172;554
34321;34172;301
34322;34172;147
34327;34172;976
34333;34172;450
34337;34172;1503
34340;34172;152
34341;34172;318
34343;34172;177
34344;34172;549
34172;34192;265
34337;34192;114
34057;34198;144
34129;34198;316
34154;34198;183
34172;34198;1325
34003;34199;135
34032;34199;169
34063;34199;200
34136;34199;115
34162;34199;135
34182;34199;118
34300;34199;105
34311;34199;171
34172;34202;223
34172;34217;134
34057;34240;115
34145;34240;104
34154;34240;109
34172;34240;394
34327;34240;104
34116;34247;101
34172;34247;486
34255;34247;120
34172;34255;328
34172;34259;164
34087;34270;105
34088;34270;127
34095;34270;195
34108;34270;239
34113;34270;155
34116;34270;101
34123;34270;162
34129;34270;197
34172;34270;1811
34202;34270;147
34172;34276;204
34229;34284;135
34032;34298;115
34032;34299;186
34298;34299;136
34324;34299;101
34003;34301;262
34023;34301;550
34024;34301;304
34108;34301;1723
34113;34301;275
34143;34301;120
34150;34301;158
34157;34301;297
34159;34301;107
34165;34301;127
34172;34301;631
34213;34301;511
34341;34301;139
34299;34324;146
34022;34327;125
34057;34327;170
34058;34327;126
34090;34327;185
34145;34327;187
34154;34327;122
34172;34327;626
34032;34329;172
34032;34336;327
34172;34337;323
34145;34344;145
34172;34344;236
